key,English (en)
MODALS.TOPIC_CLOSE_CONFIRM_HEADING_CLOSE_TOPIC,Close topic
MODALS.TOPIC_CLOSE_CONFIRM_TXT_ARE_YOU_SURE,Are you sure you want to continue?
MODALS.TOPIC_CLOSE_CONFIRM_TXT_NO_UNDO,Please keep in mind you cannot undo this action.
MODALS.TOPIC_CLOSE_CONFIRM_TXT_NO_EDIT,"The topic will close, it's contents can no longer be edited."
MODALS.TOPIC_CLOSE_CONFIRM_TXT_NO_VOTE,"Voting will end, further voting will not be possible."
MODALS.TOPIC_CLOSE_CONFIRM_BTN_NO,"NO, DON'T CLOSE THE TOPIC"
MODALS.TOPIC_CLOSE_CONFIRM_BTN_YES,"YES, CLOSE THE TOPIC"
MODALS.TOPIC_DELETE_CONFIRM_HEADING,Delete topic
MODALS.TOPIC_DELETE_CONFIRM_TXT_ARE_YOU_SURE,Are you sure you want to delete this topic?
MODALS.TOPIC_DELETE_CONFIRM_TXT_NO_UNDO,@:MODALS.TOPIC_CLOSE_CONFIRM_TXT_NO_UNDO
MODALS.TOPIC_DELETE_CONFIRM_TXT_TOPIC_DELETED,All versions of the topic will be deleted
MODALS.TOPIC_DELETE_CONFIRM_TXT_DISCUSSION_DELETED,All discussions and votes will be deleted.
MODALS.TOPIC_DELETE_CONFIRM_TXT_TOPIC_REMOVED_FROM_GROUPS,The topic will be removed from groups and categories.
MODALS.TOPIC_DELETE_CONFIRM_NO,"NO, KEEP THIS TOPIC"
MODALS.TOPIC_DELETE_CONFIRM_YES,"YES, DELETE THIS TOPIC"
MODALS.TOPIC_MEMBER_GROUP_DELETE_CONFIRM_HEADING,Remove group
MODALS.TOPIC_MEMBER_GROUP_DELETE_CONFIRM_TXT_ARE_YOU_SURE,Are you sure you want to remove this group?
MODALS.TOPIC_MEMBER_GROUP_DELETE_CONFIRM_BTN_NO,@:BTN_NO
MODALS.TOPIC_MEMBER_GROUP_DELETE_CONFIRM_BTN_YES,@:MODALS.GROUP_MEMBER_TOPIC_DELETE_CONFIRM_BTN_YES
MODALS.TOPIC_MEMBER_USER_DELETE_CONFIRM_HEADING,@:MODALS.GROUP_MEMBER_USER_DELETE_CONFIRM_HEADING
MODALS.TOPIC_MEMBER_USER_DELETE_CONFIRM_TXT_ARE_YOU_SURE,@:MODALS.GROUP_MEMBER_USER_DELETE_CONFIRM_TXT_ARE_YOU_SURE
MODALS.TOPIC_MEMBER_USER_DELETE_CONFIRM_NO,@:BTN_NO
MODALS.TOPIC_MEMBER_USER_DELETE_CONFIRM_YES,@:BTN_YES
MODALS.TOPIC_MEMBER_USER_LEAVE_CONFIRM_HEADING,Leave topic
MODALS.TOPIC_MEMBER_USER_LEAVE_CONFIRM_TXT_ARE_YOU_SURE,Are you sure you want to leave this topic?
MODALS.TOPIC_MEMBER_USER_LEAVE_CONFIRM_BTN_NO,@:BTN_NO
MODALS.TOPIC_MEMBER_USER_LEAVE_CONFIRM_BTN_YES,@:BTN_YES
MODALS.TOPIC_SEND_TO_FOLLOWUP_CONFIRM_HEADING,Send topic to follow up
MODALS.TOPIC_SEND_TO_FOLLOWUP_CONFIRM_TXT_ARE_YOU_SURE,@:MODALS.TOPIC_CLOSE_CONFIRM_TXT_ARE_YOU_SURE
MODALS.TOPIC_SEND_TO_FOLLOWUP_CONFIRM_TXT_NO_EDIT,@:MODALS.TOPIC_CLOSE_CONFIRM_TXT_NO_EDIT
MODALS.TOPIC_SEND_TO_FOLLOWUP_CONFIRM_TXT_NO_VOTE,@:MODALS.TOPIC_CLOSE_CONFIRM_TXT_NO_VOTE
MODALS.TOPIC_SEND_TO_FOLLOWUP_CONFIRM_BTN_NO,"NO, DON'T CHANGE STATUS"
MODALS.TOPIC_SEND_TO_FOLLOWUP_CONFIRM_BTN_YES,"YES, CHANGE THE STATUS"
MODALS.TOPIC_SEND_TO_VOTE_CONFIRM_HEADING,Send topic to vote
MODALS.TOPIC_SEND_TO_VOTE_CONFIRM_TXT_ARE_YOU_SURE,@:MODALS.TOPIC_CLOSE_CONFIRM_TXT_ARE_YOU_SURE
MODALS.TOPIC_SEND_TO_VOTE_CONFIRM_TXT_NO_EDIT,@:MODALS.TOPIC_CLOSE_CONFIRM_TXT_NO_EDIT
MODALS.TOPIC_SEND_TO_VOTE_CONFIRM_BTN_NO,@:MODALS.TOPIC_SEND_TO_FOLLOWUP_CONFIRM_BTN_NO
MODALS.TOPIC_SEND_TO_VOTE_CONFIRM_BTN_YES,@:MODALS.TOPIC_SEND_TO_FOLLOWUP_CONFIRM_BTN_YES
MODALS.TOPIC_COMMENT_REPORT_HEADING,Report comment
MODALS.TOPIC_COMMENT_REPORT_DESCRIPTION,Comment by {{usersFullName}}
MODALS.TOPIC_COMMENT_REPORT_LABEL_REASON,Reason for deleting
MODALS.TOPIC_COMMENT_REPORT_LABEL_REASON_REQUIRED,(required)
MODALS.TOPIC_COMMENT_REPORT_PLACEHOLDER_REPORT_TEXT,Explain why you find this comment inappropriate...
MODALS.TOPIC_COMMENT_REPORT_TXT_ARE_YOU_SURE,Are you sure you want to report this comment? You cannot undo this action.
MODALS.TOPIC_COMMENT_REPORT_BTN_YES,"YES, REPORT THIS COMMENT"
MODALS.TOPIC_COMMENT_REPORT_BTN_NO,"NO, I CHANGED MY MIND"
MODALS.TOPIC_COMMENT_MODERATE_HEADING,Moderate comment
MODALS.TOPIC_COMMENT_MODERATE_TXT_USER_WROTE,User wrote:
MODALS.TOPIC_COMMENT_MODERATE_LABEL_REASON,Reason for moderating
MODALS.TOPIC_COMMENT_MODERATE_PLACEHOLDER_REPORT_TEXT,@:MODALS.TOPIC_COMMENT_REPORT_PLACEHOLDER_REPORT_TEXT
MODALS.TOPIC_COMMENT_MODERATE_TXT_ARE_YOU_SURE,Are you sure you want to moderate this comment? You cannot undo this action.
MODALS.TOPIC_COMMENT_MODERATE_BTN_NO,@:MODALS.TOPIC_COMMENT_REPORT_BTN_NO
MODALS.TOPIC_COMMENT_MODERATE_BTN_YES,"YES, MODERATE THIS COMMENT"
MODALS.TOPIC_DELETE_COMMENT_TITLE,Delete argument
MODALS.TOPIC_DELETE_COMMENT_DESCRIPTION,{{usersFullName}} argument
MODALS.TOPIC_DELETE_COMMENT_TXT_ARE_YOU_SURE,Are you sure you want to delete this comment? You cannot undo this action.
MODALS.TOPIC_DELETE_COMMENT_BTN_NO,@:MODALS.TOPIC_COMMENT_REPORT_BTN_NO
MODALS.TOPIC_DELETE_COMMENT_BTN_YES,"YES, DELETE THIS COMMENT"
MODALS.LOGIN_HEADING,Log in / Register
MODALS.LOGIN_BTN_LOGIN_FACEBOOK,Log in with Facebook account
MODALS.LOGIN_BTN_LOGIN_GOOGLE,Log in with Google account
MODALS.LOGIN_BTN_LOGIN_ESTEID,Log in with ID-card / mobile-ID
MODALS.LOGIN_BTN_LOGIN_SMARTID,Log in with Smart-ID
MODALS.LOGIN_BTN_LOGIN_REGISTER,@:MODALS.LOGIN_HEADING
MODALS.LOGIN_LNK_FORGOT_PASSWORD,Forgot password?
MODALS.LOGIN_PLACEHOLDER_EMAIL,Email
MODALS.LOGIN_PLACEHOLDER_PASSWORD,Password
MODALS.LOGIN_ESTEID_HEADING,Choose a log in method
MODALS.LOGIN_ESTEID_PLACEHOLDER_PHONE,Phone number incl. country code
MODALS.LOGIN_ESTEID_ERROR_PHONE,Invalid phone number. Please enter phone number with country code.
MODALS.LOGIN_ESTEID_PLACEHOLDER_PID,Personal identification code
MODALS.LOGIN_ESTEID_ERROR_PID,Invalid personal identification code.
MODALS.LOGIN_ESTEID_TXT_CONTROL_CODE,Control code: {{code}}
MODALS.LOGIN_ESTEID_TXT_CHECK_CONTROL_CODE,Make sure control code matches with one in the phone screen and enter Mobile-ID PIN2.
MODALS.LOGIN_ESTEID_BTN_LOG_IN_MID,Log in with mobiil-ID
MODALS.LOGIN_ESTEID_BTN_LOG_IN_ID,Log in with ID-card
MODALS.LOGIN_SMARTID_HEADING,@:MODALS.LOGIN_BTN_LOGIN_SMARTID
MODALS.LOGIN_SMARTID_PLACEHOLDER_COUNTRY_CODE,Two letter country code
MODALS.LOGIN_SMARTID_ERROR_COUNTRY_CODE,Invalid Country code
MODALS.LOGIN_SMARTID_PLACEHOLDER_PID,@:MODALS.LOGIN_ESTEID_PLACEHOLDER_PID
MODALS.LOGIN_SMARTID_ERROR_PID,@:MODALS.LOGIN_ESTEID_ERROR_PID
MODALS.LOGIN_SMARTID_TXT_CONTROL_CODE,@:MODALS.LOGIN_ESTEID_TXT_CONTROL_CODE
MODALS.LOGIN_SMARTID_TXT_CHECK_CONTROL_CODE,Make sure control code matches with one in the phone screen and enter Smart-ID PIN1.
MODALS.LOGIN_SMARTID_BTN_LOG_IN_SID,@:MODALS.LOGIN_BTN_LOGIN_SMARTID
MODALS.MY_ACCOUNT_HEADING,My account
MODALS.MY_ACCOUNT_PLACEHOLDER_NAME,Full name
MODALS.MY_ACCOUNT_PLACEHOLDER_COMPANY,Company
MODALS.MY_ACCOUNT_PLACEHOLDER_EMAIL,@:MODALS.LOGIN_PLACEHOLDER_EMAIL
MODALS.MY_ACCOUNT_PLACEHOLDER_PASSWORD,@:MODALS.LOGIN_PLACEHOLDER_PASSWORD
MODALS.MY_ACCOUNT_TAB_SETTINGS,@:MODALS.TOPIC_SETTINGS_TAB_SETTINGS
MODALS.MY_ACCOUNT_TAB_LINKING,LINKING
MODALS.MY_ACCOUNT_TXT_LINKING,Link this account with other existing CitizenOS account. Be aware this will merge existing data into one account
MODALS.MY_ACCOUNT_TITLE_FACEBOOK,Facebook
MODALS.MY_ACCOUNT_TITLE_GOOGLE,Google
MODALS.MY_ACCOUNT_TITLE_ID,ID-card/Mobile-ID
MODALS.MY_ACCOUNT_BTN_LINK,Link
MODALS.MY_ACCOUNT_BTN_UNLINK,Unlink
MODALS.MY_ACCOUNT_BTN_SAVE,Save changes
MODALS.MY_ACCOUNT_LNK_CANCEL,@:LNK_CANCEL
MODALS.PASSWORD_FORGOT_HEADING,Forgot your password?
MODALS.PASSWORD_FORGOT_PLACEHOLDER_EMAIL,@:MODALS.LOGIN_PLACEHOLDER_EMAIL
MODALS.PASSWORD_FORGOT_SEND_RESET,Send reset code
MODALS.PASSWORD_FORGOT_BTN_CANCEL,@:LNK_CANCEL
MODALS.PASSWORD_RESET_HEADING,Reset your account password
MODALS.PASSWORD_RESET_LBL_EMAIL,Account email:
MODALS.PASSWORD_RESET_PLACEHOLDER_PASSWORD,@:MODALS.LOGIN_PLACEHOLDER_PASSWORD
MODALS.PASSWORD_RESET_BTN_RESET_PASSWORD,Reset your password
MODALS.PASSWORD_RESET_LNK_CANCEL,@:LNK_CANCEL
MODALS.SIGN_UP_HEADING,Register
MODALS.SIGN_UP_PLACEHOLDER_NAME,@:MODALS.MY_ACCOUNT_PLACEHOLDER_NAME
MODALS.SIGN_UP_PLACEHOLDER_COMPANY,@:MODALS.MY_ACCOUNT_PLACEHOLDER_COMPANY
MODALS.SIGN_UP_PLACEHOLDER_EMAIL,@:MODALS.LOGIN_PLACEHOLDER_EMAIL
MODALS.SIGN_UP_PLACEHOLDER_PASSWORD,@:MODALS.LOGIN_PLACEHOLDER_PASSWORD
MODALS.SIGN_UP_BTN_SAVE,@:MODALS.SIGN_UP_HEADING
MODALS.SIGN_UP_LNK_CANCEL,@:LNK_CANCEL
MODALS.TOPIC_ATTACHMENTS_SAVE_ATTACHMENTS,Save attachments
MODALS.TOPIC_ATTACHMENTS_LBL_COMPUTER,Computer
MODALS.TOPIC_ATTACHMENTS_LBL_DROPBOX,Dropbox
MODALS.TOPIC_ATTACHMENTS_LBL_GOOGLE_DRIVE,Google drive
MODALS.TOPIC_ATTACHMENTS_LBL_ONEDRIVE,OneDrive
MODALS.TOPIC_ATTACHMENTS_TITLE_FILES,Attachments
MODALS.TOPIC_ATTACHMENT_DELETE_CONFIRM_HEADING,Delete attachment
MODALS.TOPIC_ATTACHMENT_DELETE_CONFIRM_TXT_ARE_YOU_SURE,Are you sure you want to delete this attachment?
MODALS.TOPIC_ATTACHMENT_DELETE_CONFIRM_TXT_NO_UNDO,@:MODALS.TOPIC_CLOSE_CONFIRM_TXT_NO_UNDO
MODALS.TOPIC_ATTACHMENT_DELETE_CONFIRM_TXT_ATTACHMENT_DELETED,The attachment will be deleted.
MODALS.TOPIC_ATTACHMENT_DELETE_CONFIRM_BTN_NO,"NO, KEEP THIS ATTACHMENT"
MODALS.TOPIC_ATTACHMENT_DELETE_CONFIRM_BTN_YES,"YES, DELETE THIS ATTACHMENT"
TXT_TOPIC_CATEGORY_ALL,every category
TXT_TOPIC_CATEGORY_BUSINESS,Business and industry
TXT_TOPIC_CATEGORY_TRANSPORT,Public transport and road safety
TXT_TOPIC_CATEGORY_TAXES,Taxes and budgeting
TXT_TOPIC_CATEGORY_AGRICULTURE,Agriculture
TXT_TOPIC_CATEGORY_ENVIRONMENT,"Environment, animal protection"
TXT_TOPIC_CATEGORY_CULTURE,"Culture, media and sports"
TXT_TOPIC_CATEGORY_HEALTH,Health care and social care
TXT_TOPIC_CATEGORY_WORK,Work and employment
TXT_TOPIC_CATEGORY_EDUCATION,Education
TXT_TOPIC_CATEGORY_POLITICS,Politics and public administration
TXT_TOPIC_CATEGORY_COMMUNITIES,Communities and urban development
TXT_TOPIC_CATEGORY_DEFENSE,Defense and security
TXT_TOPIC_CATEGORY_INTEGRATION,Integration and human rights
TXT_TOPIC_CATEGORY_VARIA,Varia
MODALS.TOPIC_SETTINGS_TAB_SETTINGS,SETTINGS
MODALS.TOPIC_SETTINGS_TAB_CATEGORIES,CATEGORIES
MODALS.TOPIC_SETTINGS_TAB_INVITE,INVITE
MODALS.TOPIC_SETTINGS_TAB_SHARE,SHARE
MODALS.TOPIC_SETTINGS_BTN_SAVE_TOPIC,Save topic
MODALS.TOPIC_SETTINGS_BTN_SAVE_TOPIC_AND_INVITE,Save topic and send invite
MODALS.TOPIC_SETTINGS_LBL_MAKE_PRIVATE,Make your topic private
MODALS.TOPIC_SETTINGS_LBL_MAKE_PRIVATE_EXT,ONLY PEOPLE YOU INVITE WILL BE ABLE TO JOIN THE TOPIC
MODALS.TOPIC_SETTINGS_LBL_HASHTAG,Hashtag
MODALS.TOPIC_SETTINGS_LBL_HASHTAG_EXT,USE THIS HASHTAG IN SOCIAL MEDIA AND THE MENTIONS WILL BE SHOWN BELOW YOUR TOPIC
MODALS.TOPIC_SETTINGS_PLACEHOLDER_HASHTAG,@:MODALS.TOPIC_SETTINGS_LBL_HASHTAG
MODALS.TOPIC_SETTINGS_LBL_LEAVE_TOPIC,Leave topic
MODALS.TOPIC_SETTINGS_LBL_LEAVE_TOPIC_EXT,LEAVING A TOPIC WILL RESULT IN GIVING UP ANY POWERS YOU MAY HAVE AS USER IN THAT TOPIC
MODALS.TOPIC_SETTINGS_BTN_LEAVE_TOPIC,@:MODALS.TOPIC_SETTINGS_LBL_LEAVE_TOPIC
MODALS.TOPIC_SETTINGS_LBL_DELETE_TOPIC,Delete topic
MODALS.TOPIC_SETTINGS_LBL_DELETE_TOPIC_EXT,DELETING A TOPIC CAN NOT BE UNDONE. BE SURE TO BE REALLY SURE ABOUT THIS.
MODALS.TOPIC_SETTINGS_BTN_DELETE_TOPIC,@:MODALS.TOPIC_SETTINGS_LBL_DELETE_TOPIC
MODALS.TOPIC_SETTINGS_TXT_ASSIGN_CATEGORIES,Assign up to 3 categories
MODALS.TOPIC_SETTINGS_TXT_INVITE_USERS_AND_GROUPS,Invite users and groups via name or e-mail address
MODALS.TOPIC_SETTINGS_PLACEHOLDER_INVITE_USERS_AND_GROUPS,Search by name or e-mail address
MODALS.TOPIC_SETTINGS_RESULT_GROUP_USERS,USERS
MODALS.TOPIC_SETTINGS_RESULT_GROUP_GROUPS,GROUPS
MODALS.TOPIC_SETTINGS_RESULT_GROUP_EMAILS,EMAILS
MODALS.TOPIC_SETTINGS_TH_USERS,Users
MODALS.TOPIC_SETTINGS_TXT_PRESS_ENTER_OR_CLICK_TO_ADD,Press enter or click to add
MODALS.TOPIC_SETTINGS_TH_GROUPS,Groups
MODALS.TOPIC_SETTINGS_TXT_PRESS_ENTER_TO_ADD,Press enter to add
MODALS.TOPIC_SETTINGS_TXT_SHARE_LINK,Share this link to people you want to join the topic:
MODALS.TOPIC_SETTINGS_LNK_CREATE_NEW_LINK,Create a new link
MODALS.TOPIC_SETTINGS_PLACEHOLDER_CREATE_NEW_LINK,Generate a link to share
MODALS.TOPIC_SETTINGS_BTN_COPY_LINK,Copy link
MODALS.TOPIC_SETTINGS_BTN_SAVE_SETTINGS,Save settings
MODALS.GROUP_CREATE_SETTINGS_HEADING_CREATE,Create a group
MODALS.GROUP_CREATE_SETTINGS_HEADING_EDIT,Edit group settings
MODALS.GROUP_CREATE_SETTINGS_TAB_SETTINGS,@:MODALS.TOPIC_SETTINGS_TAB_SETTINGS
MODALS.GROUP_CREATE_SETTINGS_TAB_ADD_TOPICS,ADD TOPICS
MODALS.GROUP_CREATE_SETTINGS_TAB_INVITE_USERS,INVITE USERS
MODALS.GROUP_CREATE_SETTINGS_BTN_SAVE_GROUP,Save group
MODALS.GROUP_CREATE_SETTINGS_BTN_SAVE_GROUP_AND_INVITE,Save group and send invite
MODALS.GROUP_CREATE_SETTINGS_LBL_GROUP_NAME,Group name
MODALS.GROUP_CREATE_SETTINGS_LBL_GROUP_NAME_EXP,USE A NAME THAT IS CLEAR AND UNDERSTANDABLE
MODALS.GROUP_CREATE_SETTINGS_PLACEHOLDER_GROUP_NAME,@:MODALS.GROUP_CREATE_SETTINGS_LBL_GROUP_NAME
MODALS.GROUP_CREATE_SETTINGS_LBL_LEAVE_GROUP,Leave group
MODALS.GROUP_CREATE_SETTINGS_LBL_LEAVE_GROUP_EXP,LEAVING A GROUP WILL RESULT IN GIVING UP ANY POWERS YOU MAY HAVE AS USER IN THAT GROUP
MODALS.GROUP_CREATE_SETTINGS_BTN_LEAVE_GROUP,@:MODALS.GROUP_CREATE_SETTINGS_LBL_LEAVE_GROUP
MODALS.GROUP_CREATE_SETTINGS_LBL_DELETE_GROUP,Delete group
MODALS.GROUP_CREATE_SETTINGS_LBL_DELETE_GROUP_EXP,DELETING A GROUP CAN NOT BE UNDONE. BE SURE TO BE REALLY SURE ABOUT THIS.
MODALS.GROUP_CREATE_SETTINGS_BTN_DELETE_GROUP,@:MODALS.GROUP_CREATE_SETTINGS_LBL_DELETE_GROUP
MODALS.GROUP_CREATE_SETTINGS_NEW_TOPIC_TITLE,@:VIEWS.MY_GROUPS_GROUPID.LNK_TITLE
MODALS.GROUP_CREATE_SETTINGS_LBL_NEW_TOPIC,Create a new topic
MODALS.GROUP_CREATE_SETTINGS_LBL_NEW_TOPIC_GROUP_RIGHTS,@:VIEWS.MY_GROUPS_GROUPID.LNK_RIGHTS
MODALS.GROUP_CREATE_SETTINGS_LBL_ADD_TOPICS,Add topics searching by title
MODALS.GROUP_CREATE_SETTINGS_ADD_CREATE_TOPIC,@:DEFAULT.NAV.LNK_CREATE_TOPICS
MODALS.GROUP_CREATE_SETTINGS_PLACEHOLDER_SEARCH_TOPIC,Search for a topic
MODALS.GROUP_CREATE_SETTINGS_TXT_PRESS_ENTER_TO_ADD,@:MODALS.TOPIC_SETTINGS_TXT_PRESS_ENTER_TO_ADD
MODALS.GROUP_CREATE_SETTINGS_TXT_PRESS_ENTER_OR_CLICK_TO_ADD,@:MODALS.TOPIC_SETTINGS_TXT_PRESS_ENTER_OR_CLICK_TO_ADD
MODALS.GROUP_CREATE_SETTINGS_TH_TITLE,Title A-Z
MODALS.GROUP_CREATE_SETTINGS_TH_USERS,@:MODALS.TOPIC_SETTINGS_TH_USERS
MODALS.GROUP_CREATE_SETTINGS_TXT_TOPIC_USERS,Topic users: <b>{{count}}</b>
MODALS.GROUP_CREATE_SETTINGS_LBL_GROUP_RIGHTS,Group right over topic:
MODALS.GROUP_CREATE_SETTINGS_LBL_INVITE_USERS,Invite users via their name or e-mail address
MODALS.GROUP_CREATE_SETTINGS_PLACEHOLDER_SEARCH_BY_NAME_EMAIL,Search by username or e-mail address
MODALS.TOPIC_VOTE_DELEGATE_HEADING,Delegate your vote for topic
MODALS.TOPIC_VOTE_DELEGATE_TAB,Delegate
MODALS.TOPIC_VOTE_DELEGATE_BTN_DELEGATE,Delegate vote
MODALS.TOPIC_VOTE_DELEGATE_LBL_SEARCH_MEMBERS,You can delegate your vote only to other members of this topic. Search topic members by their name.
MODALS.TOPIC_VOTE_DELEGATE_PLACEHOLDER_SEARCH_BY_NAME,Search members by name
MODALS.TOPIC_VOTE_DELEGATE_TXT_PRESS_ENTER_OR_CLICK_TO_ADD,@:MODALS.TOPIC_SETTINGS_TXT_PRESS_ENTER_OR_CLICK_TO_ADD
MODALS.TOPIC_VOTE_DELEGATE_TXT_PRESS_ENTER_TO_ADD,@:MODALS.TOPIC_SETTINGS_TXT_PRESS_ENTER_TO_ADD
MODALS.TOPIC_VOTE_DELEGATE_TH_USERS,@:MODALS.TOPIC_SETTINGS_TH_USERS
MODALS.TOPIC_VOTE_REVOKE_DELEGATION_CONFIRM_HEADING,Revoke delegation
MODALS.TOPIC_VOTE_REVOKE_DELEGATION_CONFIRM_TXT_ARE_YOU_SURE,Are you sure you want to revoke this delegation?
MODALS.TOPIC_VOTE_REVOKE_DELEGATION_CONFIRM_NO,@:BTN_NO
MODALS.TOPIC_VOTE_REVOKE_DELEGATION_CONFIRM_YES,@:BTN_YES
MODALS.TOPIC_VOTE_SIGN_HEADING,Choose a signing method
MODALS.TOPIC_VOTE_SIGN_TXT_VOTING_FOR,YOU’RE VOTING: {{optionSelected.value}}
MODALS.TOPIC_VOTE_SIGN_PLACEHOLDER_PHONE,@:MODALS.LOGIN_ESTEID_PLACEHOLDER_PHONE
MODALS.TOPIC_VOTE_SIGN_ERROR_PHONE,@:MODALS.LOGIN_ESTEID_ERROR_PHONE
MODALS.TOPIC_VOTE_SIGN_PLACEHOLDER_PID,@:MODALS.LOGIN_ESTEID_PLACEHOLDER_PID
MODALS.TOPIC_VOTE_SIGN_ERROR_PID,@:MODALS.LOGIN_ESTEID_ERROR_PID
MODALS.TOPIC_VOTE_SIGN_TXT_CONTROL_CODE,@:MODALS.LOGIN_ESTEID_TXT_CONTROL_CODE
MODALS.TOPIC_VOTE_SIGN_TXT_CHECK_CONTROL_CODE,@:MODALS.LOGIN_ESTEID_TXT_CHECK_CONTROL_CODE
MODALS.TOPIC_VOTE_SIGN_BTN_SIGN_MID,Sign with mobile-ID
MODALS.TOPIC_VOTE_SIGN_BTN_SIGN_CARD,Sign with ID-card
LAYOUTS.MAIN.PLACEHOLDER_SEARCH_TOPICS_USERS_GROUPS,"Search topics, users, groups…"
DEFAULT.NAV.LNK_LOG_IN_REGISTER,@:MODALS.LOGIN_HEADING
DEFAULT.NAV.LNK_MY_ACCOUNT,@:MODALS.MY_ACCOUNT_HEADING
DEFAULT.NAV.HEADING_TOPICS,Topics
DEFAULT.NAV.LNK_CREATE_TOPICS,Create topic
DEFAULT.NAV.LNK_MY_TOPICS,My topics
DEFAULT.NAV.LNK_PUBLIC_TOPICS,Public topics
DEFAULT.NAV.HEADING_GROUPS,@:MODALS.TOPIC_SETTINGS_TH_GROUPS
DEFAULT.NAV.LNK_CREATE_GROUPS,Create groups
DEFAULT.NAV.LNK_MY_GROUPS,My groups
DEFAULT.NAV.LNK_ABOUT,About
DEFAULT.NAV.LNK_FAQ,FAQ
DEFAULT.NAV.LNK_HELP,Help
DEFAULT.NAV.LNK_LOG_OUT,Log out
DEFAULT.NAV_MOBILE.BTN_SEARCH,Search
DEFAULT.NAV_MOBILE.BTN_OVERVIEW,Overview
DEFAULT.NAV_MOBILE.BTN_EDIT,Edit
DEFAULT.NAV_MOBILE.BTN_SETTINGS,Settings
DEFAULT.NAV_MOBILE.BTN_MENU,Menu
